Id;Label
MN0000628541;Byron Lee
MN0000097115;Booka Shade
MN0000016186;Amel Larrieux
MN0000942624;Caedmon's Call
MN0000061350;The Casket Lottery
MN0000524050;Bryan Ferry
MN0000575044;Márcio Faraco
MN0000282800;Rites of Spring
MN0000630119;Bryan Kelley
MN0000748525;State Of Alert
MN0000187123;Gary Usher
MN0000327762;Peter Martin Weiss
MN0000635760;David Benoit
MN0001618181;Jon Connor
MN0000683750;Yellow Magic Orchestra
MN0000327765;John Barry
MN0000147468;Clay Aiken
MN0000520975;Tommy James & the Shondells
MN0000186837;The City on Film
MN0000520977;Tommy Keene
MN0000162908;Faith & the Muse
MN0000847404;Jesse Malin
MN0000019297;America
MN0000450014;Metro Area
MN0000789340;Belly
MN0000845668;Phil Manzanera
MN0001200676;Ernest Ferguson
MN0000845662;Jill Scott
MN0000336783;Nick Drake
MN0000483019;Mitch Ryder & the Detroit Wheels
MN0000776639;Commander Cody
MN0000159989;Beatrice Lillie
MN0001663497;Lerner & Loewe
MN0000330994;Maureen Tucker
MN0001978045;Monsters Build Mean Robots
MN0000334873;Phunk Junkeez
MN0000141852;The Dust Brothers
MN0000651972;H-Town
MN0000178135;The Edwin Hawkins Singers
MN0000651798;Gutbucket
MN0000081796;Kenny Clarke
MN0000554406;D.Y.S.
MN0001882882;Amaresh Chowdhury
MN0000275401;Lonnie Johnson
MN0000861918;National Lampoon
MN0001195281;Ruth Crawford Seeger
MN0000482723;The Paybacks
MN0000390239;Michael Brecker
MN0000950634;The Goons
MN0000411830;Nile Rodgers
MN0000124390;Lead Belly
MN0001469120;V.V. Brown
MN0000022258;Patty Waters
MN0000955937;Wilma Lee Cooper
MN0000414512;Rooftop Singers
MN0000165248;Ben Vaughn
MN0000129049;Event
MN0002867436;Alt-J
MN0000098971;In Camera
MN0000531200;Charlemagne Palestine
MN0000572403;The Vandermark 5
MN0000240751;Jovino Santos Neto
MN0000209019;Drake Bell
MN0000119111;J.J. Johnson
MN0000891032;The Mighty Mighty Bosstones
MN0000671885;Mando Diao
MN0000265548;Harry Taussig
MN0000326096;Jerry Byrd
MN0000943936;Buddy Miles
MN0000503668;The Miracles
MN0002871920;Raintown
MN0000033129;Shobha Gurtu
MN0000413524;The Police
MN0000024944;Amy Grant
MN0000229993;Josh Joplin Group
MN0000768455;Bonham
MN0000032836;Sly Dunbar
MN0000006761;Semi-Twang
MN0000161902;Shane Stockton
MN0000940701;Stromba
MN0000352294;Pixinguinha (Alfredo Vianna)
MN0000258430;Pennywise
MN0001018697;The Goodnight Loving
MN0000275894;Road Rage
MN0000075801;The Highwaymen
MN0000759998;Autechre
MN0000214173;Dillinger
MN0000626115;The Brooklyn Tabernacle Choir
MN0000759224;Blaze Foley
MN0000796811;Don Caballero
MN0000160055;Shampoo
MN0000160054;Sham 69
MN0000013735;Spirogyra
MN0002509942;Sam Smith
MN0000263293;Luka Bloom
MN0000066514;The Flys
MN0000484890;The Witnesses
MN0000879144;Deadmau5
MN0000839736;Peruchin Jr. & the Cuban All Stars
MN0000868086;Janelle Monáe
MN0000578031;The Statler Brothers
MN0000778655;Lacuna Coil
MN0000220909;Vital Remains
MN0000309563;Séamus Egan
MN0000265969;Pete Levin
MN0000135196;Disco Inferno
MN0000163977;Shannon
MN0000761688;The Fleshtones
MN0000047816;Bob & Ray
MN0000657298;Giles, Giles & Fripp
MN0000041428;Swollen Members
MN0000129457;James Clay
MN0000009000;Allen Clapp
MN0000791654;Shaman's Dream
MN0000796605;Freakwater
MN0000538991;Johnathan Rice
MN0000176993;Ruts D.C.
MN0000017929;Patti Austin
MN0000788569;Barbara Mandrell
MN0000137090;Jody Reynolds
MN0000090563;Kelly Willis
MN0000074134;Ian & Sylvia
MN0000867307;Augustana
MN0002667076;Mirror Queen
MN0000397880;Nick Cave
MN0000345734;Rosemary Clooney
MN0000701790;Brandon Heath
MN0001568676;Fatima
MN0000043489;The B-52s
MN0000140816;Eddie Hazel
MN0000044134;Steve Morse
MN0000937396;Brooklyn All-Stars
MN0000085038;Iron and Wine
MN0000598649;Aereogramme
MN0000223635;Eugene Mirman
MN0000757873;Big Bill Broonzy
MN0000182724;The Flesh Eaters
MN0002527995;David Clavijo
MN0000540600;George Handy
MN0000741110;Grant-Lee Phillips
MN0000500664;The Seeds
MN0000408476;The Movielife
MN0000816267;Dawn Upshaw
MN0000490763;The Ravens
MN0000780401;Cootie Williams
MN0000490769;Sunnyland Slim
MN0000174902;Eddie South
MN0000417518;The Recoys
MN0000034961;Snakefarm
MN0001380160;Hype Williams
MN0000079675;Kendall Jones
MN0000685647;Yes
MN0000136075;The Crusaders
MN0000217487;Los Van Van
MN0000161652;Fatso Jetson
MN0000062455;Avalon
MN0000062452;Ad Frank
MN0000120870;Angie Fisher
MN0000069402;Bob Marley & the Wailers
MN0000067131;Billy Crystal
MN0000339905;Jesse Winchester
MN0000317093;Nat King Cole
MN0000189494;Jean Redpath
MN0000757704;Blahzay Blahzay
MN0000757703;Blade Fetish
MN0000031717;Sven Väth
MN0000569064;Ocean
MN0000468632;Ricardo Montaner
MN0000184043;Foo Fighters
MN0000027372;Sleepy LaBeef
MN0000095454;International Airport
MN0000677991;John Scofield
MN0000184044;Enon
MN0000964011;Zaiko Langa Langa
MN0000894511;Some Velvet Morning
MN0000065862;Bob Cranshaw
MN0000042993;Sonny & Cher
MN0000013954;Tab Smith
MN0000234000;Zu
MN0000028166;Slim Harpo
MN0000028167;Slim Jim Phantom
MN0000200775;Ernest Tubb
MN0003313644;Neon Waltz
MN0000200777;Ernestine Anderson
MN0000200776;Ernest V. Stoneman
MN0000077870;Bill Haley
MN0000864878;New Bomb Turks
MN0000182291;Garth Hudson
MN0000067078;The Flower Kings
MN0000845323;Phil Minton
MN0000645405;Gerry Goffin
MN0000866767;Randy VanWarmer
MN0000082603;Kevin Gilbert
MN0000072999;The Happenings
MN0000800066;Carson Robison
MN0001477553;Danny Brown
MN0000793022;Cock Sparrer
MN0000632233;Eric Church
MN0000128495;Counting Crows
MN0000833907;Rodney O
MN0000503063;Tim Carroll
MN0000806671;Charles Gayle
MN0000141039;Joanne Shenandoah
MN0000154744;disappear fear
MN0000423467;Mista
MN0000840845;Peter Bardens
MN0000771546;Black Stalin
MN0000145237;Layo & Bushwacka!
MN0000771010;The Left Banke
MN0000409237;Rebecca Moore
MN0003264096;Boosie Badazz
MN0000349157;Melvins
MN0000680566;Hociel Thomas
MN0000628042;Stock, Aitken & Waterman
MN0000057351;The Eyeliners
MN0000752613;Shivaree
MN0000143961;Ed Blackwell
MN0000036521;Smashing Pumpkins
MN0000851272;Richard Clayderman
MN0000299725;Judie Tzuke
MN0000945408;Richard Rodney Bennett
MN0000827056;Ron Affif
MN0000159062;St. Germain
MN0000105422;Corrosion of Conformity
MN0000396372;Max Roach
MN0001781605;John Martin
MN0000209389;Vienna Art Orchestra
MN0000568622;Alec Wilder
MN0000041702;Sy Oliver
MN0002709646;Kendrick Lamar
MN0000148978;Cyrus Chestnut
MN0000038672;Steve Hillage
MN0000536275;Sweet
MN0000079137;King Kerosene
MN0000963543;ZOEgirl
MN0000125965;Benjamin Zephaniah
MN0000216468;David Holmes
MN0000225041;José Fajardo
MN0000172770;Carl Butler
MN0000172772;Ed Ames
MN0000580723;Anne Dudley
MN0000745214;American Lesion
MN0001897176;Yummy Fur
MN0000176673;Eddie Taylor
MN0000108114;Clara Ponty
MN0000108117;Clara Ward
MN0000846671;Mark-Almond
MN0002113213;DD/MM/YYYY
MN0000516936;Electrosexual & Abberline
MN0000204386;James Taylor
MN0000503479;Timbalada
MN0000525519;Between the Trees
MN0000225948;Dead Can Dance
MN0000133553;Build an Ark
MN0000525511;Yellow Swans
MN0000844811;Mark Shim
MN0000590265;Annie Ross
MN0000928160;Armand Van Helden
MN0001009910;Brent Cash
MN0000285693;Robert Gordon
MN0000075580;Black Box Recorder
MN0000075582;King Creosote
MN0000408500;Ready for the World
MN0001557918;The Chameleons UK
MN0000070715;Bobby Darin
MN0000818247;Derrick Carter
MN0003215513;De Lux
MN0000239827;John Mayer
MN0000250057;Nikolai Rimsky-Korsakov
MN0000255576;Honeymoon Suite
MN0000828550;Joshua Breakstone
MN0000888463;The Riffbrokers
MN0000066743;The Fat Boys
MN0000359658;Kasey Chambers
MN0000470588;Mick Taylor
MN0000629505;My Teenage Stride
MN0000956583;Winard Harper
MN0000802420;Don Walser
MN0000487038;The Rapture
MN0000087305;Kid Frost
MN0001059293;Creed
MN0000037212;Andreas Vollenweider
MN0000164970;Coco Montoya
MN0000958980;Richard Wagner
MN0000019354;Paul Kossoff
MN0001778461;Detroit Social Club
MN0000025047;The Angels
MN0000999790;Bingo Players
MN0000236008;John Lee Hooker, Jr.
MN0000170454;Carla Thomas
MN0000479204;Anita Ward
MN0000118187;Erin Bode
MN0000107863;Colourbox
MN0000951206;Daeonia
MN0000490541;Thee Mighty Caesars
MN0000954322;Daniel Bedingfield
MN0000954321;Dallas Frazier
MN0000042679;Steve Tilston
MN0000788950;Battalion of Saints
MN0000813175;Macka B
MN0000752635;Shudder to Think
MN0000238440;Robert Fripp
MN0000753706;The All-American Rejects
MN0000925852;Anvil
MN0000614823;Brenda Russell
MN0000174122;Lyle Lovett
MN0000794145;Dock Boggs
MN0000174120;Vic Stevens
MN0000492312;Mimi Fox
MN0000196934;Gene Krupa
MN0000549374;Ginger Rogers
MN0000377369;Martin Lawrence
MN0000863774;Ralph McTell
MN0000412005;Nils Petter Molvær
MN0000835509;Juliette Gréco
MN0003388861;Roman à Clef
MN0000249943;Leo Smith
MN0000258882;Jon Secada
MN0000223683;Machel Montano
MN0000014651;Patsy Cline
MN0000835506;Love Spit Love
MN0000682338;Dave Specter
MN0000496873;Moose
MN0000891204;Oscillators
MN0000765241;Bad Wizard
MN0000098707;kidneythieves
MN0000022065;Amédé Ardoin
MN0000138535;Joanne Brackeen
MN0000013387;Shawn Colvin
MN0000013384;Tanya Tucker
MN0000263995;Jeffrey Lewis
MN0002658876;Grape Soda
MN0000238668;W.C. Fields
MN0000147782;The Delmore Brothers
MN0000194578;Gang Green
MN0000495784;Keely Smith
MN0003217917;Primitive Parts
MN0001318932;Luciano Berio
MN0000338332;Markus Stockhausen
MN0000418981;The Shirelles
MN0000949097;John Stevens
MN0000713380;Bill Maher
MN0000040294;Swell
MN0000032193;Tex Williams
MN0000251206;Julie Roberts
MN0000080657;Billy Ward & the Dominoes
MN0000113823;Chrissie Hynde
MN0000803774;G. Dep
MN0000044455;Sonny Curtis
MN0000262821;Didjits
MN0000643937;The Heliocentrics
MN0000610346;Aimee Mann
MN0000227457;John P. Strohm
MN0000121863;Coyote Shivers
MN0000121862;Coyle & Sharpe
MN0000806507;Tyrone Davis
MN0000806051;Charles Manson
MN0000613690;Brazilian Girls
MN0000013565;Spirea X
MN0000002954;Speedies
MN0000670211;Harold Mabern
MN0000040124;The Ataris
MN0001722635;Slam Allen
MN0003054586;Holy Wave
MN0000253058;Diane Cluck
MN0000949890;Hamell on Trial
MN0000588890;Anson Funderburgh
MN0000286572;Joss Stone
MN0000241229;Derek Bell
MN0000107139;Bootsy Collins
MN0000179764;Fontella Bass
MN0000781680;Jagjit Singh
MN0000241226;Salim Nourallah
MN0000898188;Mint Condition
MN0000419785;Mind Controls
MN0000636382;Bud Shank
MN0000052900;The Lovin' Spoonful
MN0002310079;Sidi Touré
MN0000112364;It's Jo and Danny
MN0000343446;Roy Campbell, Jr.
MN0000058144;Adult.
MN0000206407;Descendents
MN0000664272;Keri Hilson
MN0000680374;Womack & Womack
MN0000081017;Kitaro
MN0001967502;Kim Novak
MN0000203168;Dru Down
MN0000354609;Kajagoogoo
MN0000094252;Bing Crosby
MN0003086200;Lewis Fautzi
MN0000301404;Rick Derringer
MN0000893513;Organized Noize
MN0000668393;DJ /rupture
MN0000107259;Jah Wobble
MN0000508443;Air Supply
MN0000779263;The Haints
MN0000414095;Nina Nastasia
MN0000009490;Shed Seven
MN0000501537;12 Stones
MN0003025804;Young & Sick
MN0000038469;Beastie Boys
MN0003228134;Nico & Vinz
MN0000978433;Dem Hoodstarz
MN0002892516;The Shilohs
MN0000165830;Cocoa Tea
MN0000829869;Lois
MN0001827618;G-Man
MN0000220101;Jazzyfatnastees
MN0000038466;Andy Williams
MN0000520368;Asie Payton
MN0002377110;Jacob Bellens
MN0000808547;Eugenius
MN0000049062;Simple Plan
MN0001928730;Andile Yenana
MN0000830028;Huey "Piano" Smith
MN0000869219;Rasputina
MN0000932665;Alanis Morissette
MN0000636433;The Cardigans
MN0000109553;Lana Lane
MN0000324430;Tristan Prettyman
MN0000041652;Pedro Flores
MN0000792254;Earthlings?
MN0000564726;The Sundays
MN0000800904;Cash Money Millionaires
MN0000260212;Pet Shop Boys
MN0001914070;Roland Smith
MN0000102947;Ladybug Mecca
MN0000422700;Minny Pops
MN0000800271;Gary Primich
MN0000867842;Raphael Rabello
MN0000596616;Tim O'Brien & O'Boys
MN0000234630;Rye Coalition
MN0000774494;J Majik
MN0001177196;Johann Christoph Bach
MN0000148786;Florence Dore
MN0001028077;The-Dream
MN0003204843;Wilderness
MN0000140553;Lecuona Cuban Boys
MN0000146927;Claudio Roditi
MN0000200129;DeVante Swing
MN0000085776;James Gang
MN0000679897;Herbie Nichols
MN0000110984;Larry Shannon Hargrove
MN0000557674;Hamilton Camp
MN0000609711;Mr. Len
MN0000300752;Urban Dance Squad
MN0000001020;Alexis Korner
MN0000897322;The Remains
MN0000905023;Guillemots
MN0000142208;Eddie Murphy
MN0000674119;Wolf Eyes
MN0000770007;King Diamond
MN0000065476;The Flock
MN0000750131;Terri Clark
MN0001345278;Lullaby Baxter
MN0002140972;Teengirl Fantasy
MN0000959641;Bill Woods
MN0001006451;Friendly Fires
MN0000629557;Bügsküll
MN0000797056;Elis Regina
MN0000883499;Mic Geronimo
MN0000154978;Dot Allison
MN0000673460;Mamadou Diabate
MN0000082091;The Long Ryders
MN0000584360;Diane Warren
MN0000182884;Jason Donovan
MN0003145618;Angel Kaplan
MN0000112973;Claire Martin
MN0000064303;Badfinger
MN0000078191;Body Count
MN0000676818;Darryl Worley
MN0000212753;REM
MN0000079580;Jimmy McCracklin
MN0000678324;The Narrator
MN0000632398;The Nice Boys
MN0000224954;David Sancious
MN0000224952;The Trash Can Sinatras
MN0000030909;Steve Riley
MN0000578551;Styles P
MN0000188261;Eric Johnson
MN0000060685;Big Sandy
MN0000533644;Bunny Lee
MN0000337243;Maxwell Davis
MN0000692114;Will Rigby
MN0000196544;Della Reese
MN0000109988;Crazyhead
MN0000348039;Jim Kweskin & the Jug Band
MN0000170843;Turing Machine
MN0003089322;Potty Mouth
MN0000144102;Claudia Acuña
MN0000078226;Ken Peplowski
MN0000166025;Eddie "Lockjaw" Davis
MN0000039413;Andy LaRocque
MN0000157953;Tairrie B.
