Id;Label
MN0000588508;Ace Frehley
MN0000191070;Wang Chung
MN0003451744;Georgio
MN0000423095;The Skyliners
MN0000987974;Cathy Dennis
MN0000493682;Kyu Sakamoto
MN0000815386;Jeanne Pruett
MN0000224530;Wa Wa Nee
MN0000208774;Janet Jackson
MN0000233920;Debbie Taylor
MN0000176332;Right Said Fred
MN0000606283;Al Jarreau
MN0000023202;Stereo MC's
MN0000477834;The New Seekers
MN0000050610;Big Punisher
MN0000564631;The Sugarhill Gang
MN0001599423;Johnny Gibson
MN0000315463;Scarface
MN0000069298;B.W. Stevenson
MN0000168474;Frank Gari
MN0000585896;The Wallflowers
MN0000546735;Gilbert O'Sullivan
MN0000546738;Jazmine Sullivan
MN0000066429;Bobby Bare
MN0000500889;Minnie Riperton
MN0000177117;Faster Pussycat
MN0000523661;Stonewall Jackson
MN0000478932;504 Boyz
MN0000590479;Thin Lizzy
MN0000814387;John Legend
MN0000350610;Jim Weatherly
MN0000355885;Kardinal Offishall Featuring Akon
MN0001896692;Enchantment
MN0000364572;Kathy Troccoli
MN0000689891;Young MC
MN0000107877;James Carr
MN0000024527;Shirley Brown
MN0000074195;Natalie Cole
MN0000133969;Joan Armatrading
MN0000745915;Paul Anka
MN0002899138;Angel
MN0000116816;Lawrence Welk
MN0000585965;Monie Love
MN0000153915;Duncan Sheik
MN0000386234;Mase
MN0000570046;Marc Almond
MN0000524050;Bryan Ferry
MN0000015288;Patti Smith Group
MN0000589630;Afi
MN0000280960;Lone Justice
MN0000036849;Sonny James
MN0000177060;Janis Joplin
MN0000775494;Cherish
MN0000132305;Clarence Reid
MN0000218709;Jonathan Butler
MN0000173563;Freak Nasty
MN0000219655;Little River Band
MN0000327765;John Barry
MN0000511257;The Soup Dragons
MN0000651376;Captain Hollywood Project
MN0000552576;Gino Soccio
MN0000321377;Neal Hefti
MN0000019297;America
MN0000554804;The Wreckers
MN0000789340;Belly
MN0002436700;Bill Black's Combo
MN0000821675;Jon Bon Jovi
MN0000845662;Jill Scott
MN0000810861;John Eddie
MN0000572313;The Valentinos
MN0000420381;OutKast
MN0000845468;Jerry Jeff Walker
MN0000574033;Modern English
MN0000762097;Blue October
MN0000383853;Neal McCoy
MN0000998473;Randy Houser
MN0000163085;Electric Boys
MN0000743175;Serj Tankian
MN0000651972;H-Town
MN0003445040;Jimmy Charles
MN0002009611;Lil Mama
MN0000331323;10 Years
MN0000019285;Trade Martin
MN0000226556;Dead Or Alive
MN0002999962;Casey Kelly
MN0000171994;Joe South
MN0001836821;The Hesitations
MN0002344193;Michael Holm
MN0001267375;Sweeney Todd
MN0000002111;Shaquille O'Neal
MN0000194743;Grace Slick
MN0000247636;Sammy Turner
MN0000187907;Aventura Featuring Don Omar
MN0000250191;Johnny Thunder
MN0000296460;Sammy Masters
MN0000366164;Rick James
MN0000827250;Lloyd Price
MN0000286530;Jessica Andrews
MN0000022255;Paul Evans
MN0000496646;Apollo 100
MN0000302106;Lisa Stansfield
MN0000759443;The Exciters
MN0000605375;Alan Jackson
MN0000936425;Todd Rundgren
MN0000066370;Bob Moore
MN0000943936;Buddy Miles
MN0000805208;Joe Simon
MN0000061172;The Cars
MN0000003426;Tank
MN0000024944;Amy Grant
MN0000248683;Devone
MN0000005307;Alicia Keys
MN0000128249;Eydie Gorme
MN0000936190;Stevie Nicks
MN0000143216;James Otto
MN0000516202;Brian Hyland
MN0000240758;Piero Umiliani
MN0000067821;The Fortunes
MN0000111042;City High
MN0000214175;Jordan Hill
MN0000565609;The Tee Set
MN0000992075;Pleasure P
MN0000495201;Mims
MN0000147200;The Dells
MN0002086657;Young And Restless
MN0001187581;The Magnificent Men
MN0000343215;Rose Royce
MN0000402872;The Meters
MN0000118791;LeAnn Rimes
MN0000081132;Eli Young Band
MN0000855194;Pretty Poison
MN0000660507;Giorgio Moroder
MN0000545074;George Michael
MN0000500241;Thriving Ivory
MN0000056833;The Equals
MN0000799083;Eria Fachin
MN0000101946;Isaac Hayes
MN0000275335;Josh Groban
MN0000978231;Mario Vazquez
MN0000041420;Pebbles
MN0000769693;The Jive Five
